INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
Benedictine College,KS,2,0.6507,53175.0
Bethany College,KS,2,0.2867,49694.0
Bethel College-North Newton,KS,2,0.4309,49898.0
Central Christian College of Kansas,KS,2,0.2303,44468.0
Donnelly College,KS,2,0.38,35715.0
Emporia State University,KS,1,0.543,47601.0
Fort Hays State University,KS,1,0.4785,48928.0
Barclay College,KS,2,0.5517,36355.0
Friends University,KS,2,0.6149,52113.0
Haskell Indian Nations University,KS,1,0.4259,37043.0
Hesston College,KS,2,0.5741,47495.0
University of Kansas,KS,1,0.6879,61945.0
Newman University,KS,2,0.5377,55041.0
Kansas State University,KS,1,0.7047,57262.0
Kansas Wesleyan University,KS,2,0.3846,51152.0
Manhattan Christian College,KS,2,0.5479,48860.0
McPherson College,KS,2,0.52,52084.0
MidAmerica Nazarene University,KS,2,0.4615,62972.0
Ottawa University-Ottawa,KS,2,0.2872,55552.0
Pittsburg State University,KS,1,0.5758,50579.0
University of Saint Mary,KS,2,0.4406,59483.0
Southwestern College,KS,2,0.3351,55646.0
Sterling College,KS,2,0.2903,45846.0
Tabor College,KS,2,0.3289,54058.0
Washburn University,KS,1,0.5263,49774.0
Wichita State University,KS,1,0.5143,51532.0
Alice Lloyd College,KY,2,0.2636,40573.0
Asbury University,KY,2,0.65,42368.0
Bellarmine University,KY,2,0.6775,62069.0
Berea College,KY,2,0.6204,43150.0
Brescia University,KY,2,0.4597,45500.0
Campbellsville University,KY,2,0.4713,41583.0
Centre College,KY,2,0.8529,66240.0
Clear Creek Baptist Bible College,KY,2,0.3333,41623.0
University of the Cumberlands,KY,2,0.4624,45036.0
Eastern Kentucky University,KY,1,0.4974,45795.0
Georgetown College,KY,2,0.4754,52074.0
Kentucky Mountain Bible College,KY,2,0.3571,21256.0
Kentucky State University,KY,1,0.2714,36382.0
Kentucky Wesleyan College,KY,2,0.526,46747.0
University of Kentucky,KY,1,0.6993,59025.0
Kentucky Christian University,KY,2,0.3377,42375.0
Lindsey Wilson College,KY,2,0.3808,41129.0
University of Louisville,KY,1,0.6068,53899.0
Midway University,KY,2,0.4638,44246.0
Morehead State University,KY,1,0.4769,43197.0
Murray State University,KY,1,0.5953,44737.0
Northern Kentucky University,KY,1,0.4828,50220.0
University of Pikeville,KY,2,0.3907,48231.0
Spalding University,KY,2,0.5732,49438.0
Thomas More University,KY,2,0.4011,59384.0
Transylvania University,KY,2,0.6975,54705.0
Union Commonwealth University,KY,2,0.3603,42002.0
Western Kentucky University,KY,1,0.5367,43889.0
Centenary College of Louisiana,LA,2,0.593,50330.0
Dillard University,LA,2,0.451,39196.0
Grambling State University,LA,1,0.3234,41109.0
Louisiana State University-Alexandria,LA,1,0.3552,42205.0
Louisiana State University and Agricultural & Mechanical College,LA,1,0.7096,61251.0
Louisiana State University-Shreveport,LA,1,0.3321,47477.0
Louisiana Christian University,LA,2,0.4128,51700.0
Louisiana Tech University,LA,1,0.5762,52279.0
Loyola University New Orleans,LA,2,0.6742,52927.0
McNeese State University,LA,1,0.5201,46453.0
University of New Orleans,LA,1,0.4251,47872.0
Nicholls State University,LA,1,0.5429,45454.0
University of Louisiana at Monroe,LA,1,0.506,46769.0
Northwestern State University of Louisiana,LA,1,0.4463,47021.0
University of Holy Cross,LA,2,0.3582,49316.0
Franciscan Missionaries of Our Lady University,LA,2,0.5132,59419.0
Saint Joseph Seminary College,LA,2,0.4,38366.0
Southeastern Louisiana University,LA,1,0.448,46482.0
Southern University and A & M College,LA,1,0.2845,43371.0
Southern University at New Orleans,LA,1,0.1786,34042.0
University of Louisiana at Lafayette,LA,1,0.52,47089.0
Tulane University of Louisiana,LA,2,0.8891,63268.0
Xavier University of Louisiana,LA,2,0.5021,52184.0
College of the Atlantic,ME,2,0.6923,40264.0
Bates College,ME,2,0.9059,69498.0
Bowdoin College,ME,2,0.956,82735.0
Maine College of Health Professions,ME,2,0.8333,79840.0
Colby College,ME,2,0.9022,80490.0
University of Maine at Augusta,ME,1,0.2328,40342.0
University of Maine at Farmington,ME,1,0.5275,44433.0
University of Maine at Fort Kent,ME,1,0.3984,51077.0
University of Maine,ME,1,0.5643,48653.0
Maine Maritime Academy,ME,1,0.6141,89964.0
University of Maine at Presque Isle,ME,1,0.3766,40956.0
University of New England,ME,2,0.6083,55921.0
Maine College of Art & Design,ME,2,0.4874,40778.0
